City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Kununurra,AU,2021-05-27 02:54:18,-15.7667,128.7333,87.28,27,53,20.83
107,Dhidhdhoo,MV,2021-05-27 02:49:51,6.8833,73.1,82.9,77,78,23.89
108,Ulladulla,AU,2021-05-27 02:54:19,-35.35,150.4667,65.88,36,0,2.86
109,Port Alfred,ZA,2021-05-27 02:54:19,-33.5906,26.891,61.09,88,84,7.49
110,Vanavara,RU,2021-05-27 02:54:19,60.34,102.2797,47.93,32,7,3.51
111,Longyearbyen,SJ,2021-05-27 02:54:20,78.2186,15.6401,33.64,80,75,11.5
112,Trelew,AR,2021-05-27 02:54:21,-43.249,-65.3051,51.84,56,100,11.72
113,Praia Da Vitoria,PT,2021-05-27 02:54:21,38.7333,-27.0667,61.05,72,75,12.1
114,Tiverton,GB,2021-05-27 02:54:22,50.9,-3.4833,46.67,96,7,1.01
115,Kodiak,US,2021-05-27 02:54:22,57.79,-152.4072,53.73,61,0,4.05
116,Byron Bay,AU,2021-05-27 02:54:22,-28.65,153.6167,74.05,65,86,14.56
117,Billings,US,2021-05-27 02:50:04,45.7833,-108.5007,52.29,74,75,12.66
118,Esperance,AU,2021-05-27 02:54:23,-33.8667,121.9,60.64,49,100,18.99
119,Kloulklubed,PW,2021-05-27 02:54:24,7.0419,134.2556,83.98,73,26,10.76
120,Tocopilla,CL,2021-05-27 02:54:24,-22.092,-70.1979,68.79,58,100,1.83
121,Qasigiannguit,GL,2021-05-27 02:54:24,68.8193,-51.1922,51.49,39,100,27.76
122,Nicoya,CR,2021-05-27 02:54:25,10.1483,-85.452,78.35,85,100,7.23
123,Praia,CV,2021-05-27 02:54:25,14.9215,-23.5087,70.34,83,20,17.27
124,Lasa,IT,2021-05-27 02:54:26,46.6166,10.7002,54.48,94,46,4.12
125,Georgetown,MY,2021-05-27 02:53:30,5.4112,100.3354,78.75,95,40,3.0
126,Coxim,BR,2021-05-27 02:54:27,-18.5067,-54.76,73.15,72,58,2.21
127,Loubomo,CG,2021-05-27 02:54:27,-4.1997,12.6739,70.3,97,78,2.71
128,Saskylakh,RU,2021-05-27 02:54:28,71.9167,114.0833,38.16,75,100,13.0
129,Champerico,GT,2021-05-27 02:54:28,14.3,-91.9167,85.35,71,100,7.02
130,Tiksi,RU,2021-05-27 02:54:29,71.6872,128.8694,38.26,86,40,3.96
131,Lebu,CL,2021-05-27 02:54:29,-37.6167,-73.65,57.11,95,100,6.58
132,Chachapoyas,PE,2021-05-27 02:54:29,-6.2317,-77.869,51.49,95,26,3.47
133,West Fargo,US,2021-05-27 02:54:30,46.875,-96.9004,51.85,44,1,8.99
134,Suntar,RU,2021-05-27 02:54:30,62.1444,117.6319,64.92,40,68,7.29
135,Kondopoga,RU,2021-05-27 02:54:31,62.2057,34.2614,42.48,96,100,6.15
136,Tottori,JP,2021-05-27 02:54:31,35.5,134.2333,62.67,82,90,13.8
137,Olafsvik,IS,2021-05-27 02:54:31,64.8945,-23.7142,45.64,86,57,6.6
138,Mar Del Plata,AR,2021-05-27 02:54:32,-38.0023,-57.5575,54.12,51,0,5.01
139,Beira,MZ,2021-05-27 02:54:32,-19.8436,34.8389,61.18,82,0,4.97
140,Lusambo,CD,2021-05-27 02:54:33,-4.9667,23.45,64.92,65,73,2.08
141,Novoagansk,RU,2021-05-27 02:54:33,61.9449,76.6625,34.27,98,100,24.74
142,Los Llanos De Aridane,ES,2021-05-27 02:54:34,28.6585,-17.9182,64.15,87,90,12.57
143,Constitucion,CL,2021-05-27 02:54:34,-35.3333,-72.4167,56.62,88,18,6.62
144,Darnah,LY,2021-05-27 02:54:34,32.767,22.6367,69.64,60,0,15.12
145,Mataura,NZ,2021-05-27 02:54:35,-46.1927,168.8643,49.48,69,100,2.53
146,Klaksvik,FO,2021-05-27 02:54:35,62.2266,-6.589,38.32,77,96,14.63
147,Ostrovnoy,RU,2021-05-27 02:54:36,68.0531,39.5131,38.86,64,24,8.79
148,Soure,BR,2021-05-27 02:54:36,-0.7167,-48.5233,78.66,85,37,4.97
149,Boguchany,RU,2021-05-27 02:54:37,58.3814,97.4531,49.46,37,69,4.43
150,Sao Jose Da Coroa Grande,BR,2021-05-27 02:54:37,-8.8978,-35.1478,76.82,78,59,10.51
151,Nkowakowa,ZA,2021-05-27 02:54:37,-23.8878,30.2871,51.85,51,0,4.16
152,Khatanga,RU,2021-05-27 02:54:38,71.9667,102.5,27.93,84,70,9.93
153,Narsaq,GL,2021-05-27 02:54:38,60.9167,-46.05,36.7,93,100,4.92
154,Guerrero Negro,MX,2021-05-27 02:54:39,27.9769,-114.0611,61.88,86,47,13.96
